text,label,notes,source,object_id
"Bin Laden’s ultimate objective was to evict US military forces from the Middle East. In response to 9/11, we massively expanded our footprint in the region and formed even deeper relationships with the Saudi government (whom Bin Laden hated for in his view, “[suspending] Islamic laws, and replacing it with statuary laws”). You can read it all in his original, late 90s declaration of jihad against the United States[1] and decide for yourself if you think he ultimately achieved what he wanted, but for my money, he lost basically everything. In the strictest sense, we did stop “occupying” (stationing troops) in Saudi Arabia itself after we kicked off the Iraq war and concentrated our forces in Iraq and at Al Udeid airbase, but I don’t think that was really the spirit of the thing. [1] https://ctc.westpoint.edu/wp-content/uploads/2013/10/Declara...",evidence_based_reasoning,"Uses specific reasoning, technical detail, example, or causal explanation.",https://news.ycombinator.com/item?id=48655054,48655054
"This simulation claims otherwise (though I agree it's hard to believe): > A significant degradation of external thermal comfort can also be seen in the simulations, as heat released by AC systems warms the outside air (see figure 3). The temperature increases due to AC depend on the time of day and on the characteristics of the heat wave, mainly its intensity. On average, the duration spent under high heat stress conditions in the streets is increased by about 20 min per day because of AC. https://iopscience.iop.org/article/10.1088/1748-9326/ab6a24#...",evidence_based_reasoning,"Uses specific reasoning, technical detail, example, or causal explanation.",https://news.ycombinator.com/item?id=48655008,48655008
"There's lots of things to show for the research! Part of what the research shows is that correctness-by-proof has a cost in developer effort. If there really is a vulnerability-apocalypse due to AI, and it's not just a different flavour of AI hype, the cost of having insecure software will rise to the point that the cost of dealing with insecure or incorrect code at time of creation becomes less than the cost of ignoring it until it blows up. I doubt it'll rise so much that we'll want to face the cost of behaviour proofs for much code at all, but it's quite possible it'll rise enough that we want to do things like prove that indices are in bounds, at compile time, so vector accesses can skip checks without compromising safety.",evidence_based_reasoning,"Uses specific reasoning, technical detail, example, or causal explanation.",https://news.ycombinator.com/item?id=48655001,48655001
"They don't always overlap well -- certainly, not exactly . Thermal lag is a thing, and it is promoted by increases in both insulation and mass. As an example of thermal lag: My present home doesn't have aircon upstairs. I've got a room with a west-facing window up there, and I just happen to chart temperatures in that room. The daily temperature peaks in that room during the warmer months tend to happen at night -- sometimes, as late as midnight. The daily temperature minimums tend to happen around noon. This suggests that solar power is least-useful for that particular room when solar availability is greatest. It doesn't overlap very well at all. (I'm still looking into installing fairly modest solar rig, though, just to help offset my own baseload when I can and maybe make extended power outages more survivable.)",evidence_based_reasoning,"Uses specific reasoning, technical detail, example, or causal explanation.",https://news.ycombinator.com/item?id=48654999,48654999
"The house being cooled by aircon is within the same world as everything else is. This doesn't mean that there's zero heat added locally (as many seem fond of suggesting): The compressors and circulation blowers and fans don't run for free, and every Joule of electricity they consume is ultimately converted to a Joule of heat in a process that wouldn't occur in the absence of aircon. That's not zero. But in very broad strokes, it's not very significant. It's somewhat akin to running a refrigerator inside of a kitchen. With aircon, the refrigerator is the size a whole house. That certainly sounds huge, and it is huge. But that refrigerated building is inside of a room that is the size of the Earth's atmosphere, which is very obviously vast in ways that kitchens simply are not. It doesn't really matter. Millions of homes with aircon don't mean much when the atmosphere is millions of times bigger than they are.",evidence_based_reasoning,"Uses specific reasoning, technical detail, example, or causal explanation.",https://news.ycombinator.com/item?id=48654882,48654882
"How old are you? I think a lot of younger folks don't fully adjust for important factors: plane hijackings used to be much more common, 9/11 was committed by the second group of Islamic terrorists who tried to blow up the World Trade Center, and 9/11 was the third major terrorist attack by Al-Qaeda in a 4 year span. It's easy now to say that it was a crazy worst-case scenario, but that was not at all obvious then; for all we knew, securing cockpits might have been impractical, and we'd just have to prepare the Air Force to shoot down a couple hijacked flights every decade. There were real excesses, and I ultimately agree with you that many of them were predictable in advance, but there was no feasible version of a response that did not go at least a little into crazyland. It was a crazy time.",evidence_based_reasoning,"Uses specific reasoning, technical detail, example, or causal explanation.",https://news.ycombinator.com/item?id=48654881,48654881
"Something needs to be done with the heat. The common euro talking point: aircon doesn’t solve the problem, let’s insulate instead (an order of magnitude more expensive). Apparently you entertain an even more absurd idea: let’s just do nothing, because everyone is too poor. That’s just wrong, plenty of home owners or real estate owners have the means to foot the bills, especially if regulation mandates or subsidises heat pumps. Besides that, just know you’re participating in a system of belief that needlessly kills thousands each year (and many more to come, if you believe as I hope that climate change is real). Just dwell on it a little. Thousands dead because of ideological comfort and resistance to change, which in and of itself is a weird form of climate skepticism. If you answer this, please address each of my points from both comments. You have adressed none so far.",evidence_based_reasoning,"Uses specific reasoning, technical detail, example, or causal explanation.",https://news.ycombinator.com/item?id=48654857,48654857
"Yes heat pumps move heat that already existed from the cold side to the hot side, but they also consume some energy to fight entropy, meaning they pump more heat to the hot side than they remove from the cold side. This is a net heat gain, equivalent to the energy consumed in running the AC. The value may be considered negligible compared to other sources, but it can still be on the order of 500w per room, which adds up quickly if everyone is doing it. Of course air conditioning is reasonably well suited to be a solar load during peak hours, but in most parts of the world if everyone just installed AC units like are common in many parts of the US it would mean a huge amount of extra fossil fuels burnt.",evidence_based_reasoning,"Uses specific reasoning, technical detail, example, or causal explanation.",https://news.ycombinator.com/item?id=48654851,48654851
"> A lot of people hate sexprs In all my time I have never come across a single Lisper, neither in person nor online, and I know far more than a few dozens, who once grokked the REPL-driven workflow and the structural editing idioms only to later, for whatever reason, suddenly start disliking or even hating s-expressions. All that so-called ""hatred"" stems from unfamiliarity. People fuss about Lisps lacking static types, without a single clue about how a ""true"" REPL trades them off for something different. They compare it to a Python or C# REPL and think ""it ain't a big deal"". Well, the Lisp REPL is quite different, and yes, a major deal - every single part of the Read-Eval-Print-Loop differs. They complain about ""hard to deal with parentheses"" and ""I can't refactor without types"" while having no clue how amazingly nice structural editing is in practice, that you never even think about parens - you only see structure, order and reason.",evidence_based_reasoning,"Uses specific reasoning, technical detail, example, or causal explanation.",https://news.ycombinator.com/item?id=48654820,48654820
"There are practical reasons why it isn’t widespread: 1. Energy is very expensive relative to the U.S. 2. Houses are old old and retrofitting air conditioning is very difficult 3. Houses are more than 1 story with many small rooms making portable and window mounted units unsuitable for a whole house All modern apartment buildings in London are built with air conditioning because a central air system and district power make it cost efficient. If you visit a hot place like Dubai or Bangkok, there are endless indoor malls with air conditioning that serve as a place to shop and a third space. Much of Europe doesn’t have that. The U.S. specifically is also very car-centric. You walk out of your air conditioned house into your air conditioned car and drive to your air conditioned mall. Much of Europe… isn’t. People walk, you can’t avoid the heat. Yes, certainly, there is a cultural resistance to air conditioning but adding air conditioning to homes isn’t going to stop people dying, homes are the least consequential part of heat in day to day life. Health advice in a heatwave is pretty much: don't go outside.",evidence_based_reasoning,"Uses specific reasoning, technical detail, example, or causal explanation.",https://news.ycombinator.com/item?id=48654805,48654805
